Date,Open,High,Low,Close,Adj Close,Volume
2018-12-13,679.250000,698.799988,679.250000,696.500000,678.482178,365946
2018-12-14,695.150024,713.000000,693.500000,705.599976,687.346680,482934
2018-12-17,713.000000,714.000000,692.099976,693.549988,675.608459,612157
2018-12-18,694.000000,694.000000,675.000000,676.349976,658.853333,1040768
2018-12-19,673.000000,673.000000,661.750000,665.250000,648.040527,940615
2018-12-20,662.700012,671.450012,657.000000,666.849976,649.599182,579639
2018-12-21,660.700012,660.700012,643.799988,645.750000,629.045044,981311
2018-12-24,658.000000,658.799988,648.000000,649.049988,632.259644,579592
2018-12-26,648.900024,650.000000,637.700012,644.599976,627.924744,440867
2018-12-27,652.099976,663.250000,649.299988,657.349976,640.344910,512892
2018-12-28,662.799988,663.900024,656.000000,657.599976,640.588440,288729
2018-12-31,659.000000,662.150024,656.099976,659.849976,642.780212,268693
2019-01-01,661.000000,667.000000,654.299988,664.650024,647.456116,221951
2019-01-02,668.000000,673.700012,662.450012,669.299988,651.985779,419594
2019-01-03,670.900024,677.000000,663.799988,667.549988,650.281067,355183
2019-01-04,671.099976,674.000000,651.150024,660.750000,643.656921,532339
2019-01-07,666.950012,682.799988,662.349976,671.150024,653.787903,675873
2019-01-08,673.049988,677.450012,668.200012,669.849976,652.521545,528366
2019-01-09,684.900024,689.799988,664.549988,675.849976,658.366333,1401279
2019-01-10,681.150024,682.000000,672.650024,679.750000,662.165405,591859
2019-01-11,683.900024,686.000000,672.799988,683.700012,666.013245,965600
2019-01-14,706.000000,709.000000,695.700012,700.900024,682.768372,1900868
2019-01-15,705.099976,729.799988,705.099976,726.549988,707.754761,907834
2019-01-16,729.000000,737.650024,729.000000,736.549988,717.496094,570874
2019-01-17,736.450012,738.650024,728.750000,733.400024,714.427612,284316
2019-01-18,731.950012,736.000000,726.500000,731.000000,712.089661,203144
2019-01-21,733.000000,750.700012,733.000000,742.750000,723.535645,439700
2019-01-22,740.650024,747.200012,733.849976,744.349976,725.094299,241180
2019-01-23,743.250000,743.250000,729.049988,731.450012,712.528015,250110
2019-01-24,729.500000,739.000000,721.400024,732.799988,713.843079,185362
2019-01-25,728.700012,737.400024,725.000000,730.200012,711.310364,176637
2019-01-28,732.900024,733.849976,719.049988,728.200012,709.362122,500333
2019-01-29,728.200012,730.349976,716.549988,727.349976,708.534058,618662
2019-01-30,727.349976,734.650024,720.599976,724.849976,706.098694,653889
2019-01-31,728.000000,751.000000,727.049988,749.599976,730.208496,1128305
2019-02-01,753.799988,761.799988,745.000000,756.549988,736.978699,374496
2019-02-04,755.000000,762.000000,747.849976,755.650024,736.101990,329744
2019-02-05,751.000000,760.000000,748.549988,754.250000,734.738159,272873
2019-02-06,754.250000,766.150024,753.799988,762.650024,742.920898,345880
2019-02-07,761.099976,769.500000,760.650024,763.349976,743.602783,241922
2019-02-08,764.000000,771.150024,755.099976,759.849976,740.193359,312650
2019-02-11,760.000000,768.650024,757.549988,761.599976,741.898010,275729
2019-02-12,763.000000,763.000000,741.000000,750.400024,730.987793,292287
2019-02-14,753.000000,753.000000,738.000000,739.799988,720.661987,171101
2019-02-15,741.250000,746.549988,733.000000,741.750000,722.561584,331471
2019-02-18,741.000000,747.500000,736.200012,740.099976,720.954224,168645
2019-02-19,738.900024,739.299988,723.000000,725.150024,706.390991,228364
2019-02-20,730.000000,743.450012,727.000000,740.049988,720.905518,288411
2019-02-21,739.000000,739.150024,727.950012,733.349976,714.378845,200596
2019-02-22,733.900024,736.650024,728.000000,733.349976,714.378845,191573
2019-02-25,735.000000,757.799988,735.000000,754.900024,735.371399,297704
2019-02-26,748.150024,752.049988,740.000000,741.700012,722.512878,394085
2019-02-27,745.000000,746.599976,733.000000,734.700012,715.693970,447430
2019-02-28,735.150024,742.000000,732.099976,733.950012,714.963379,212699
2019-03-01,737.799988,742.349976,735.549988,741.150024,721.977112,237031
2019-03-05,742.000000,742.549988,730.000000,732.599976,713.648254,227036
2019-03-06,735.000000,736.900024,727.099976,732.200012,713.258606,517663
2019-03-07,735.000000,735.500000,720.750000,723.250000,704.540161,538547
2019-03-08,723.250000,725.900024,711.099976,712.549988,694.116943,418002
2019-03-11,713.000000,718.200012,709.200012,711.650024,693.240295,1177665
2019-03-12,709.900024,714.750000,705.700012,706.900024,688.613159,603082
2019-03-13,710.000000,718.750000,706.349976,709.150024,690.804932,466106
2019-03-14,714.000000,715.000000,706.299988,708.349976,690.025574,351044
2019-03-15,712.849976,723.650024,709.150024,718.849976,700.253967,806656
2019-03-18,723.450012,723.849976,705.650024,709.750000,691.389343,866618
2019-03-19,713.000000,725.900024,707.799988,721.500000,702.835388,686131
2019-03-20,726.200012,742.000000,726.200012,738.500000,719.395630,976004
2019-03-22,743.349976,746.099976,733.099976,742.150024,722.951233,371377
2019-03-25,741.000000,742.000000,731.500000,735.799988,716.765503,2496241
2019-03-26,736.000000,736.000000,719.599976,726.750000,707.949585,438405
2019-03-27,728.000000,732.400024,726.250000,729.049988,710.190063,369947
2019-03-28,730.000000,745.000000,730.000000,738.500000,719.395630,428974
2019-04-01,742.900024,759.599976,742.900024,755.650024,736.101990,1913427
2019-04-02,757.500000,765.450012,753.099976,757.099976,737.514465,877816
2019-04-03,759.000000,759.049988,747.000000,754.049988,734.543396,580434
2019-04-04,751.950012,753.799988,745.500000,748.250000,728.893372,246998
2019-04-05,750.000000,760.500000,748.250000,756.250000,736.686462,1341969
2019-04-08,762.299988,769.950012,755.950012,767.150024,747.304504,314102
2019-04-09,770.000000,773.650024,758.299988,759.849976,740.193359,336826
2019-04-10,763.000000,766.500000,752.700012,754.150024,734.640808,325180
2019-04-11,753.000000,753.000000,740.049988,743.150024,723.925354,375859
2019-04-12,746.000000,751.500000,741.000000,747.849976,728.503723,385220
2019-04-15,725.000000,732.000000,713.700012,726.650024,707.852234,1070699
2019-04-16,728.299988,728.500000,714.549988,723.849976,705.124573,661281
2019-04-18,724.849976,724.849976,713.000000,716.400024,697.867371,537060
2019-04-22,716.400024,725.750000,715.000000,720.599976,701.958679,371246
2019-04-23,724.000000,729.799988,718.500000,727.849976,709.021118,322190
2019-04-24,727.500000,737.799988,724.250000,736.400024,717.349976,366957
2019-04-25,736.400024,737.549988,726.000000,728.750000,709.897888,356999
2019-04-26,731.000000,739.900024,729.599976,737.099976,718.031799,333801
2019-04-30,739.000000,753.000000,737.500000,749.950012,730.549438,738883
2019-05-02,748.599976,748.900024,728.200012,729.849976,710.969421,950252
2019-05-03,723.750000,730.599976,719.000000,723.750000,705.027222,366567
2019-05-06,718.500000,721.950012,711.099976,717.849976,699.279785,1029470
2019-05-07,720.049988,727.400024,719.000000,723.549988,704.832397,497580
2019-05-08,724.000000,725.950012,716.000000,718.099976,699.523376,440522
2019-05-09,721.700012,730.349976,716.000000,721.049988,702.397034,543215
2019-05-10,723.000000,723.000000,714.500000,716.049988,697.526367,521637
2019-05-13,718.000000,727.500000,712.799988,720.049988,701.422913,397812
2019-05-14,719.500000,719.500000,704.000000,713.849976,695.383240,537632
2019-05-15,716.650024,724.450012,712.950012,716.500000,697.964783,455637
2019-05-16,716.750000,736.750000,716.750000,734.200012,715.206848,425995
2019-05-17,733.299988,735.700012,721.000000,723.799988,705.075867,577782
2019-05-20,725.799988,726.450012,706.849976,722.400024,703.712097,669439
